Location,Order Id,Order #,Checks,Opened,# of Guests,Table,Revenue Center,Dining Area,Service,Dining Options,Discount Amount,Amount,Tax,Tip,Gratuity,Total,Voided,Paid,Closed,Duration (Opened to Paid),Order Source
3401 Harrisburg Boulevard Suite A,800000004643915267,25,25,9/2/23 4:08 PM,1,,Dining Room,,,,0.00,35.00,3.59,7.00,0.00,45.59,false,9/2/23 4:32 PM,9/2/23 4:32 PM,00:23:59,In Store
3401 Harrisburg Boulevard Suite A,800000004644341103,26,26,9/2/23 4:13 PM,1,,Dining Room,,,,0.00,30.00,3.08,6.60,0.00,39.68,false,9/2/23 5:27 PM,9/2/23 5:27 PM,01:14:42,In Store
3401 Harrisburg Boulevard Suite A,800000004644394130,27,27,9/2/23 4:17 PM,1,,Dining Room,,,,0.00,42.00,4.30,8.40,0.00,54.70,false,9/2/23 5:28 PM,9/2/23 5:28 PM,01:10:37,In Store
3401 Harrisburg Boulevard Suite A,800000004644471443,14,14,9/2/23 2:29 PM,1,,Dining Room,,,,0.00,10.00,0.82,0.00,0.00,10.82,false,9/2/23 5:34 PM,9/2/23 5:34 PM,03:04:57,In Store
3401 Harrisburg Boulevard Suite A,800000004644508703,29,29,9/2/23 4:20 PM,1,,Dining Room,,,,0.00,12.00,1.23,2.40,0.00,15.63,false,9/2/23 4:21 PM,9/2/23 4:21 PM,00:00:58,In Store
3401 Harrisburg Boulevard Suite A,800000004644564700,30,30,9/2/23 4:21 PM,1,,Dining Room,,,,0.00,52.00,5.33,10.40,0.00,67.73,false,9/2/23 4:24 PM,9/2/23 4:24 PM,00:02:52,In Store
3401 Harrisburg Boulevard Suite A,800000004644740550,31,31,9/2/23 4:24 PM,1,,Dining Room,,,,0.00,5.00,0.51,1.10,0.00,6.61,false,9/2/23 4:26 PM,9/2/23 4:26 PM,00:01:37,In Store
3401 Harrisburg Boulevard Suite A,800000004644825915,32,32,9/2/23 4:26 PM,1,,Dining Room,,,,19.75,59.25,6.06,15.80,0.00,81.11,false,9/2/23 5:12 PM,9/2/23 5:12 PM,00:46:17,In Store
3401 Harrisburg Boulevard Suite A,800000004645080189,33,33,9/2/23 4:32 PM,1,,Dining Room,,,,0.00,13.00,1.33,1.95,0.00,16.28,false,9/2/23 4:40 PM,9/2/23 4:40 PM,00:08:03,In Store
3401 Harrisburg Boulevard Suite A,800000004645175543,34,34,9/2/23 4:32 PM,1,,Dining Room,,,,6.25,18.75,1.93,5.00,0.00,25.68,false,9/2/23 4:34 PM,9/2/23 4:34 PM,00:01:45,In Store
3401 Harrisburg Boulevard Suite A,800000004645264488,35,35,9/2/23 4:34 PM,1,,Dining Room,,,,8.00,24.00,2.32,3.00,0.00,29.32,false,9/2/23 6:23 PM,9/2/23 6:23 PM,01:48:53,In Store
3401 Harrisburg Boulevard Suite A,800000004645828535,36,36,9/2/23 4:44 PM,1,,Dining Room,,,,0.00,30.00,3.08,6.00,0.00,39.08,false,9/2/23 4:47 PM,9/2/23 4:47 PM,00:03:23,In Store
3401 Harrisburg Boulevard Suite A,800000004645984579,37,37,9/2/23 4:48 PM,1,,Dining Room,,,,0.00,3.00,0.31,0.45,0.00,3.76,false,9/2/23 4:50 PM,9/2/23 4:50 PM,00:02:37,In Store
3401 Harrisburg Boulevard Suite A,800000004646032014,38,38,9/2/23 4:50 PM,1,,Dining Room,,,,0.00,6.00,0.62,0.00,0.00,6.62,false,9/2/23 4:51 PM,9/2/23 4:51 PM,00:00:11,In Store
3401 Harrisburg Boulevard Suite A,800000004646692545,39,39,9/2/23 5:01 PM,1,,Dining Room,,,,0.00,16.00,1.63,2.40,0.00,20.03,false,9/2/23 5:03 PM,9/2/23 5:03 PM,00:02:42,In Store
3401 Harrisburg Boulevard Suite A,800000004646896973,40,40,9/2/23 5:03 PM,1,,Dining Room,,,,2.50,7.50,0.78,4.00,0.00,12.28,false,9/2/23 8:14 PM,9/2/23 8:14 PM,03:10:42,In Store
3401 Harrisburg Boulevard Suite A,800000004647015091,41,41,9/2/23 5:08 PM,1,,Dining Room,,,,0.00,5.00,0.51,0.00,0.00,5.51,false,9/2/23 5:09 PM,9/2/23 5:09 PM,00:00:11,In Store
3401 Harrisburg Boulevard Suite A,800000004647941052,43,43,9/2/23 5:24 PM,1,,Dining Room,,,,0.00,11.00,1.13,1.65,0.00,13.78,false,9/2/23 5:26 PM,9/2/23 5:26 PM,00:02:11,In Store
3401 Harrisburg Boulevard Suite A,800000004648007429,42,42,9/2/23 5:15 PM,1,,Dining Room,,,,0.00,6.00,0.62,1.20,0.00,7.82,false,9/2/23 5:26 PM,9/2/23 5:26 PM,00:10:54,In Store
3401 Harrisburg Boulevard Suite A,800000004649183792,44,44,9/2/23 5:35 PM,1,,Dining Room,,,,0.00,8.00,0.82,1.20,0.00,10.02,false,9/2/23 5:49 PM,9/2/23 5:49 PM,00:13:49,In Store
3401 Harrisburg Boulevard Suite A,800000004649589950,45,45,9/2/23 5:52 PM,1,,Dining Room,,,,1.50,4.50,0.45,1.20,0.00,6.15,false,9/2/23 5:53 PM,9/2/23 5:53 PM,00:00:55,In Store
3401 Harrisburg Boulevard Suite A,800000004649678675,46,46,9/2/23 5:54 PM,1,,Dining Room,,,,10.00,0.00,0.00,0.00,0.00,0.00,false,9/2/23 11:19 PM,9/2/23 11:19 PM,05:25:25,In Store
3401 Harrisburg Boulevard Suite A,800000004649820117,47,47,9/2/23 5:54 PM,1,,Dining Room,,,,0.00,14.00,1.44,3.08,0.00,18.52,false,9/2/23 5:58 PM,9/2/23 5:58 PM,00:04:16,In Store
3401 Harrisburg Boulevard Suite A,800000004650046010,48,48,9/2/23 6:00 PM,1,,Dining Room,,Dinner,,0.00,6.00,0.62,0.00,0.00,6.62,false,9/2/23 6:01 PM,9/2/23 6:01 PM,00:01:10,In Store
3401 Harrisburg Boulevard Suite A,800000004650153468,50,50,9/2/23 6:01 PM,1,,Dining Room,,Dinner,,0.00,11.00,1.13,0.00,0.00,12.13,false,9/2/23 6:07 PM,9/2/23 6:07 PM,00:06:14,In Store
3401 Harrisburg Boulevard Suite A,800000004651803322,52,52,9/2/23 6:23 PM,1,,Dining Room,,Dinner,,0.00,36.00,3.68,7.20,0.00,46.88,false,9/2/23 6:30 PM,9/2/23 6:30 PM,00:06:51,In Store
3401 Harrisburg Boulevard Suite A,800000004652462715,53,53,9/2/23 6:39 PM,1,,Dining Room,,Dinner,,0.00,13.00,1.33,2.60,0.00,16.93,false,9/2/23 6:39 PM,9/2/23 6:39 PM,00:00:46,In Store
3401 Harrisburg Boulevard Suite A,800000004652557247,54,54,9/2/23 6:40 PM,1,,Dining Room,,Dinner,,0.00,26.00,2.66,5.72,0.00,34.38,false,9/2/23 9:56 PM,9/2/23 9:56 PM,03:15:46,In Store
3401 Harrisburg Boulevard Suite A,800000004652576422,55,55,9/2/23 6:41 PM,1,,Dining Room,,Dinner,,4.00,12.00,1.23,3.20,0.00,16.43,false,9/2/23 11:18 PM,9/2/23 11:18 PM,04:37:11,In Store
3401 Harrisburg Boulevard Suite A,800000004652911961,56,56,9/2/23 6:41 PM,1,,Dining Room,,Dinner,,0.00,8.00,0.82,1.20,0.00,10.02,false,9/2/23 6:52 PM,9/2/23 6:52 PM,00:10:25,In Store
3401 Harrisburg Boulevard Suite A,800000004653366955,51,51,9/2/23 6:20 PM,1,,Dining Room,,Dinner,,0.00,22.00,2.26,4.40,0.00,28.66,false,9/2/23 6:54 PM,9/2/23 6:54 PM,00:34:27,In Store
3401 Harrisburg Boulevard Suite A,800000004653561872,58,58,9/2/23 6:57 PM,1,,Dining Room,,Dinner,,8.75,26.25,2.53,7.00,0.00,35.78,false,9/2/23 11:17 PM,9/2/23 11:17 PM,04:20:10,In Store
3401 Harrisburg Boulevard Suite A,800000004653590974,59,59,9/2/23 6:57 PM,1,,Dining Room,,Dinner,,0.00,5.00,0.51,0.75,0.00,6.26,false,9/2/23 6:59 PM,9/2/23 6:59 PM,00:01:58,In Store
3401 Harrisburg Boulevard Suite A,800000004653696090,61,61,9/2/23 6:59 PM,1,,Dining Room,,Dinner,,0.00,6.00,0.62,0.90,0.00,7.52,false,9/2/23 7:00 PM,9/2/23 7:00 PM,00:00:28,In Store
3401 Harrisburg Boulevard Suite A,800000004653983900,62,62,9/2/23 7:03 PM,1,,Dining Room,,Dinner,,0.00,30.00,3.08,4.50,0.00,37.58,false,9/2/23 7:04 PM,9/2/23 7:04 PM,00:01:13,In Store
3401 Harrisburg Boulevard Suite A,800000004654193973,60,60,9/2/23 6:58 PM,1,,Dining Room,,Dinner,,0.00,34.00,3.49,7.48,0.00,44.97,false,9/2/23 8:53 PM,9/2/23 8:53 PM,01:54:14,In Store
3401 Harrisburg Boulevard Suite A,800000004654331553,64,64,9/2/23 7:08 PM,1,,Dining Room,,Dinner,,0.00,52.00,5.34,10.40,0.00,67.74,false,9/2/23 10:03 PM,9/2/23 10:03 PM,02:55:19,In Store
3401 Harrisburg Boulevard Suite A,800000004654384608,63,63,9/2/23 7:05 PM,1,,Dining Room,,Dinner,,0.00,48.00,4.92,6.00,0.00,58.92,false,9/2/23 7:11 PM,9/2/23 7:11 PM,00:06:39,In Store
3401 Harrisburg Boulevard Suite A,800000004654422213,66,66,9/2/23 7:11 PM,1,,Dining Room,,Dinner,,0.00,3.00,0.31,0.60,0.00,3.91,false,9/2/23 7:11 PM,9/2/23 7:11 PM,00:00:17,In Store
3401 Harrisburg Boulevard Suite A,800000004654531517,65,65,9/2/23 7:10 PM,1,,Dining Room,,Dinner,,0.00,14.00,1.43,2.80,0.00,18.23,false,9/2/23 7:15 PM,9/2/23 7:15 PM,00:05:02,In Store
3401 Harrisburg Boulevard Suite A,800000004654551441,67,67,9/2/23 7:12 PM,1,,Dining Room,,Dinner,,0.00,19.00,1.95,4.18,0.00,25.13,false,9/2/23 8:27 PM,9/2/23 8:27 PM,01:15:09,In Store
3401 Harrisburg Boulevard Suite A,800000004654599806,68,68,9/2/23 7:13 PM,1,,Dining Room,,Dinner,,0.00,47.00,4.83,7.05,0.00,58.88,false,9/2/23 8:27 PM,9/2/23 8:27 PM,01:13:39,In Store
3401 Harrisburg Boulevard Suite A,800000004654670482,69,69,9/2/23 7:14 PM,1,,Dining Room,,Dinner,,0.00,7.00,0.71,1.40,0.00,9.11,false,9/2/23 7:16 PM,9/2/23 7:16 PM,00:01:41,In Store
3401 Harrisburg Boulevard Suite A,800000004654703851,70,70,9/2/23 7:15 PM,1,,Dining Room,,Dinner,,0.00,6.00,0.62,1.32,0.00,7.94,false,9/2/23 7:18 PM,9/2/23 7:18 PM,00:02:14,In Store
3401 Harrisburg Boulevard Suite A,800000004654731204,71,71,9/2/23 7:16 PM,1,,Dining Room,,Dinner,,0.00,3.00,0.31,0.45,0.00,3.76,false,9/2/23 7:17 PM,9/2/23 7:17 PM,00:00:40,In Store
