Location,Order Id,Order #,Checks,Opened,# of Guests,Table,Revenue Center,Dining Area,Service,Dining Options,Discount Amount,Amount,Tax,Tip,Gratuity,Total,Voided,Paid,Closed,Duration (Opened to Paid),Order Source
3401 Harrisburg Boulevard Suite A,800000003865949320,59,59,8/4/23 7:48 PM,1,,Dining Room,,Dinner,,0.00,30.00,3.08,3.00,0.00,36.08,false,8/4/23 7:50 PM,8/4/23 7:50 PM,00:01:45,In Store
3401 Harrisburg Boulevard Suite A,800000003866327899,62,62,8/4/23 7:55 PM,1,,Dining Room,,Dinner,,0.00,15.00,1.53,3.30,0.00,19.83,false,8/4/23 7:56 PM,8/4/23 7:56 PM,00:01:26,In Store
3401 Harrisburg Boulevard Suite A,800000003866375340,63,63,8/4/23 7:56 PM,1,,Dining Room,,Dinner,,0.00,0.00,0.00,0.00,0.00,0.00,true,8/4/23 7:57 PM,8/4/23 7:57 PM,,In Store
3401 Harrisburg Boulevard Suite A,800000003866519299,64,64,8/4/23 7:57 PM,1,,Dining Room,,Dinner,,0.00,72.00,7.40,14.40,0.00,93.80,false,8/4/23 8:31 PM,8/4/23 8:31 PM,00:33:54,In Store
3401 Harrisburg Boulevard Suite A,800000003866547948,61,61,8/4/23 7:52 PM,1,,Dining Room,,Dinner,,0.00,18.00,1.84,2.70,0.00,22.54,false,8/4/23 8:05 PM,8/4/23 8:05 PM,00:12:22,In Store
3401 Harrisburg Boulevard Suite A,800000003866758859,65,65,8/4/23 7:59 PM,1,,Dining Room,,Dinner,,0.00,11.00,1.13,0.00,0.00,12.13,false,8/4/23 8:04 PM,8/4/23 8:04 PM,00:04:19,In Store
3401 Harrisburg Boulevard Suite A,800000003866906782,66,66,8/4/23 8:04 PM,1,,Dining Room,,Dinner,,0.00,12.00,1.23,1.80,0.00,15.03,false,8/4/23 8:07 PM,8/4/23 8:07 PM,00:02:46,In Store
3401 Harrisburg Boulevard Suite A,800000003867025162,68,68,8/4/23 8:08 PM,1,,Dining Room,,Dinner,,0.00,10.00,1.02,1.50,0.00,12.52,false,8/4/23 8:09 PM,8/4/23 8:09 PM,00:00:38,In Store
3401 Harrisburg Boulevard Suite A,800000003867237060,69,69,8/4/23 8:10 PM,1,,Dining Room,,Dinner,,0.00,56.00,5.74,11.20,0.00,72.94,false,8/4/23 9:35 PM,8/4/23 9:35 PM,01:24:18,In Store
3401 Harrisburg Boulevard Suite A,800000003867297690,70,70,8/4/23 8:12 PM,1,,Dining Room,,Dinner,,0.00,19.00,1.95,3.80,0.00,24.75,false,8/4/23 11:18 PM,8/4/23 11:18 PM,03:06:05,In Store
3401 Harrisburg Boulevard Suite A,800000003867591706,71,71,8/4/23 8:18 PM,1,,Dining Room,,Dinner,,0.00,71.00,7.28,15.62,0.00,93.90,false,8/4/23 10:00 PM,8/4/23 10:00 PM,01:41:41,In Store
3401 Harrisburg Boulevard Suite A,800000003867912647,72,72,8/4/23 8:24 PM,1,,Dining Room,,Dinner,,3.00,27.00,2.77,2.99,0.00,32.76,false,8/4/23 8:26 PM,8/4/23 8:26 PM,00:01:34,In Store
3401 Harrisburg Boulevard Suite A,800000003868079504,73,73,8/4/23 8:25 PM,1,,Dining Room,,Dinner,,0.00,74.00,7.59,11.10,0.00,92.69,false,8/4/23 8:32 PM,8/4/23 8:32 PM,00:07:00,In Store
3401 Harrisburg Boulevard Suite A,800000003868230753,74,74,8/4/23 8:31 PM,1,,Dining Room,,Dinner,,0.00,16.00,1.64,2.40,0.00,20.04,false,8/4/23 9:11 PM,8/4/23 9:11 PM,00:39:48,In Store
3401 Harrisburg Boulevard Suite A,800000003868257667,75,75,8/4/23 8:31 PM,1,,Dining Room,,Dinner,,0.00,18.00,1.86,4.00,0.00,23.86,false,8/4/23 9:12 PM,8/4/23 9:12 PM,00:40:02,In Store
3401 Harrisburg Boulevard Suite A,800000003868311402,76,76,8/4/23 8:33 PM,1,,Dining Room,,Dinner,,0.00,16.00,1.64,3.52,0.00,21.16,false,8/4/23 8:33 PM,8/4/23 8:33 PM,00:00:48,In Store
3401 Harrisburg Boulevard Suite A,800000003868327723,77,77,8/4/23 8:33 PM,1,,Dining Room,,Dinner,,0.00,51.00,5.24,10.20,0.00,66.44,false,8/4/23 9:38 PM,8/4/23 9:38 PM,01:04:56,In Store
3401 Harrisburg Boulevard Suite A,800000003868552597,78,78,8/4/23 8:33 PM,1,,Dining Room,,Dinner,,0.00,32.00,3.28,6.40,0.00,41.68,false,8/4/23 11:18 PM,8/4/23 11:18 PM,02:45:01,In Store
3401 Harrisburg Boulevard Suite A,800000003868622244,79,79,8/4/23 8:38 PM,1,,Dining Room,,Dinner,,0.00,6.00,0.62,0.90,0.00,7.52,false,8/4/23 8:40 PM,8/4/23 8:40 PM,00:01:39,In Store
3401 Harrisburg Boulevard Suite A,800000003869331487,82,82,8/4/23 8:53 PM,1,,Dining Room,,Dinner,,0.00,13.00,1.33,1.95,0.00,16.28,false,8/4/23 8:55 PM,8/4/23 8:55 PM,00:01:59,In Store
3401 Harrisburg Boulevard Suite A,800000003869558709,84,84,8/4/23 9:00 PM,1,,Dining Room,,Dinner,,0.00,11.00,1.13,1.65,0.00,13.78,false,8/4/23 9:03 PM,8/4/23 9:03 PM,00:03:44,In Store
3401 Harrisburg Boulevard Suite A,800000003869701043,85,85,8/4/23 9:03 PM,1,,Dining Room,,Dinner,,0.00,6.00,0.62,0.90,0.00,7.52,false,8/4/23 9:04 PM,8/4/23 9:04 PM,00:00:34,In Store
3401 Harrisburg Boulevard Suite A,800000003869735502,86,86,8/4/23 9:04 PM,1,,Dining Room,,Dinner,,0.00,44.00,4.51,6.60,0.00,55.11,false,8/4/23 9:05 PM,8/4/23 9:05 PM,00:00:36,In Store
3401 Harrisburg Boulevard Suite A,800000003869872439,81,81,8/4/23 8:47 PM,1,,Dining Room,,Dinner,,0.00,23.00,2.36,5.06,0.00,30.42,false,8/4/23 9:27 PM,8/4/23 9:27 PM,00:39:54,In Store
3401 Harrisburg Boulevard Suite A,800000003870510898,88,88,8/4/23 9:24 PM,1,,Dining Room,,Dinner,,0.00,39.00,3.99,7.80,0.00,50.79,false,8/4/23 10:13 PM,8/4/23 10:13 PM,00:48:50,In Store
3401 Harrisburg Boulevard Suite A,800000003870566003,87,87,8/4/23 9:19 PM,1,,Dining Room,,Dinner,,0.00,44.00,4.51,0.00,0.00,48.51,false,8/4/23 9:27 PM,8/4/23 9:27 PM,00:07:11,In Store
3401 Harrisburg Boulevard Suite A,800000003870626951,90,90,8/4/23 9:27 PM,1,,Dining Room,,Dinner,,0.00,13.00,1.33,2.86,0.00,17.19,false,8/4/23 9:59 PM,8/4/23 9:59 PM,00:31:34,In Store
3401 Harrisburg Boulevard Suite A,800000003870666792,92,92,8/4/23 9:28 PM,1,,Dining Room,,Dinner,,0.00,37.00,3.80,2.00,0.00,42.80,false,8/4/23 10:04 PM,8/4/23 10:04 PM,00:36:02,In Store
3401 Harrisburg Boulevard Suite A,800000003870696579,91,91,8/4/23 9:28 PM,1,,Dining Room,,Dinner,,0.00,25.00,2.57,3.75,0.00,31.32,false,8/4/23 9:31 PM,8/4/23 9:31 PM,00:03:14,In Store
3401 Harrisburg Boulevard Suite A,800000003870699002,93,93,8/4/23 9:29 PM,1,,Dining Room,,Dinner,,0.00,25.00,2.57,3.75,0.00,31.32,false,8/4/23 10:11 PM,8/4/23 10:11 PM,00:41:45,In Store
